ID;Question;qTypesCount;qTransCount;qOutputType;aggre;allocation;amount;boolfield;conamount;covamount;distanceBand;distfield;eveconamount;eveconobjconpro;event;eventquality;field;grid;location;network;networkquality;objconamount;objconobjconpro;object;objectquality;placename;proportion
35;What areas are at least 3000 meters from the rivers in Spain;5;3;location;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
36;What areas are more than 5000 meters from the roads in Spain;5;3;location;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
37;What is the predicted distribution probability for the little midwife toad in Spain in 2030;3;1;field;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
38;Where are the industrial areas in Utrecht;3;1;location;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0
39;Which park is biggest in Utrecht;3;1;object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
40;Which freeways do have 4 lanes in Netherlands;4;1;object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
41;Which city has the highest crime rate in Netherlands;4;1;object;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0
42;Which city has the highest population density in Netherlands;4;1;object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1
43;What areas do not have groundwater in the UK;3;1;location;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0
44;What areas do have population density less than 300 per square kilometer in UK;4;2;location;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2
45;Where are not conservation areas in UK;3;1;location;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0
46;Which emergency vehicle is closest to the accident in Utrecht;4;1;object;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0
47;Where is the best site for a new landfill in UK;4;1;allocation;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
48;Which forestry areas have Norwegian Spruce trees in Europe;4;1;field;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
49;Where is the cluster of student residence in Utrecht;4;2;location;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
50;Where is the best site for a landscape conservation park in Zdarske Vrchy;4;1;allocation;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
51;Where are the fire stations in Utrecht;3;1;location;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
52;Where are the holiday accommodations within 1000 meters of a windsurfing spot in Italy;7;4;location;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0
53;Where are the flat areas within 500 meters of a major highway in the United Kingdom;7;4;location;0;0;0;1;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0;2;0;0;0
54;What is the traffic flow of the A28 motorway in Utrecht;3;1;networkquality;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0
55;What is the shortest route from the resort center to ski pistes in Happy Valley;4;1;network;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0
56;Where is the best site for a wind farm in Portland;4;1;allocation;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
57;Where is the best site for a new retail store in Toronto;4;1;allocation;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
58;What is the land use in Netherlands;3;1;field;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0
59;Where are the commercial areas in Amsterdam;3;1;location;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0
60;How many luxury hotels are in Happy Valley ski resort;3;1;conamount;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
61;Where are the luxury hotels with more than 20 bedrooms in Happy Valley ski resort;5;2;location;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0
62;Where are forestry lands in Happy Valley ski resort;3;1;location;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0
63;Which hotels are within 0.2 km of the main roads in Happy Valley ski resort;6;3;object;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
64;Which land use contains meteorological stations in Netherlands;4;1;field;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
65;Which roads are intersected with forest areas in UK;4;1;object;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0
66;What is the land use in the Happy Valley resort;3;1;field;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0
67;Where is the best site for a new ski piste in Happy Valley;4;1;allocation;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
68;What is the predicted probability surface for snowfall in Happy Valley;3;1;field;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0
69;What is the shortest route from the center of the resort to the ski pistes in Happy Valley;5;2;network;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0
70;What is the slope of the new ski piste in the Happy Valley resort;3;1;field;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
71;From where are the wind farms visible in Amsterdam;3;1;object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
72;Which ski pistes are in the avalanche danger zones in Happy Valley;4;1;object;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0
73;Where are the accidents within ski pistes in the Happy Valley;5;2;location;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;2;0;0;0
74;Which visitor facilities are in the Happy Valley;3;1;object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
75;Which properties are within 1000 meters of an abandoned lead smelter in Oleander;6;3;object;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
76;What areas are affected by a tsunami in Indonesia in 2004;3;1;location;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0
77;What areas are within 100 meters of cameras in Salford;5;3;location;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
78;Where is the best site of bus stops that maximize the overall population that are within 600-meters buffer areas of bus stops in Utrecht;10;5;allocation;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;4;0;0;0
79;What are the political leaning for each county in the United States;4;1;objectquality;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
80;What is the number of crime cases for each police district in Texas in 2018;4;1;conamount;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0
81;Where is the mean center of households in Amsterdam Oost district;4;2;location;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
82;What is the central feature of bank branches in Oleander;3;1;covamount;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
83;What is the mean center of library patrons for each district in Oleander;4;1;covamount;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
84;What is the mean center of the fire calls weighted by the priority in Fort Worth;4;1;covamount;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0
85;What is the mean center of customers weighted by the number of transactions in Oleander city;5;2;covamount;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0
86;What is the central feature of bank branches weighted by the number of employees in Oleander city;5;2;covamount;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
87;Which police stations have fire calls that are outside their alarm territory in Fort Worth;6;2;object;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0
88;What are the standard distance circles of West Nile Virus in Fort Worth;3;1;covamount;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
89;What is the directional trend of fire calls for each fire station in Fort Worth;4;1;covamount;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0
90;What is the directional trend of crimes in Amsterdam in 2019;3;1;covamount;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
91;What is the directional trend of animal migration in the Netherlands;3;1;covamount;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
92;Where are the single-family zones in Tarrant County, Texas;4;1;location;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0
93;What is the total linear mileage of the asphalt streets in Tarrant County in Texas;4;1;covamount;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
94;How many arson cases in Fort Worth in February 2004;3;1;conamount;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
95;Where are the Hispanic food stores in Tarrant County in Texas;4;1;location;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0
96;What is the median household income for each census block in Tarrant County in Texas;5;1;aggre;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0
97;Where are the auto accidents in Tarrant County in Texas;4;1;location;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0
98;What is the total population for each census block in Tarrant County, Texas;5;1;objconamount;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0
99;What is the median age for each census tract in Tarrant County in Texas;5;1;aggre;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0
100;What is the construction year for each house in Oleander;4;1;objectquality;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
101;What is the percentage of the Hispanic population to the total population for each census block in Tarrant County in Texas;8;3;proportion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;0;0;1
102;Which park has the highest proportion of bald eagles to the bird totals in Texas;6;2;object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;1
103;What is the number of tractors for each road in Texas;4;1;conamount;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
104;What is the percentage of owner-occupied houses to the house totals for each census tract in Tarrant County, Texas;8;3;proportion;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;1
105;What is the crime rate for each police district in Texas in 2019;4;1;eveconobjconpro;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0
106;What are the vote totals of an election for each precinct in Dallas;4;1;eveconamount;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0
107;What is the population density for each census block in Dallas;4;1;proportion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
108;What is the density of robberies for each police beat in Dallas;6;3;proportion;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1
109;What is the density of rental units for each census block in Oleander;6;3;proportion;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1
110;What is the density of rental units in Oleander;5;3;proportion;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1
111;What is the density of registered voters for each precinct in Dallas;6;3;proportion;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1
112;What is the point density of trees in parks in Oleander;5;2;field;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0
113;What is the point density of fire calls in Oleander;3;1;field;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0
114;What is the density surface of rainfall measurements in the Netherlands;3;1;field;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0
115;What is the density surface of temperature measurements in Oleander city;3;1;field;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0
116;What are the directional trends of tornadoes in the Tarrant county from 2010 to 2019;3;1;covamount;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
117;What is the mean direction of freeways in Oleander;3;1;covamount;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
118;What is the degree of clustering of fire calls in Fort Worth in 2015;3;1;covamount;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
119;What is the degree of dispersion of the flu cases in Amsterdam in 2019;3;1;covamount;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
120;What is the degree of clustering of false fire alarms in Fort Worth;3;1;covamount;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
121;Where are the clusters of fire alarms with the similar priority in Fort Worth;3;2;location;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
122;Where are the clusters of census blocks with the similar median household income in Fort Worth;3;2;location;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
123;Where are the clusters of neighborhoods with the similar crime rate in Amsterdam;3;2;location;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
124;What is the percentage of residential areas inside 1 km area of the central station in Oleander;9;6;proportion;0;0;0;1;0;2;0;1;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1
125;Which properties are within 0.5 km of the Independence Day parade route in Washington D.C.;6;3;object;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0
126;How many dwelling units are in the flood zones in Oleander;5;2;conamount;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0
127;What is the total area of flood zones in Oleander;3;1;covamount;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
128;What are the land use inside the flood zones in Oleander;4;1;field;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0
129;What is the number of households for each precinct in Dallas County;4;1;conamount;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
130;How many high school students are in the school district of senior high schools in Oleander;6;3;conamount;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
131;Which properties are within 100 meters of creeks in Oleander;6;3;object;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
132;What areas are within 1000 meters of the schools in Oleander;5;3;location;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
133;What areas are within 2000 meters of the playgrounds in Oleander;5;3;location;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
134;What areas are within 1000 meters of the arcades in Oleander;5;3;location;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
135;What areas are within 100 meters of the hospitals in Oleander;5;3;location;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
136;What is the percentage of soil type inside 1 km buffer areas of the water wells in Oleander;9;6;proportion;0;0;0;1;0;2;0;1;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1
137;What is the percentage of noise polluted areas in Oleander;5;3;proportion;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1
138;Where are the houses within 2640 feet, 5280 feet, and 8920 feet from fire station in Oleander;7;4;location;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0
139;What areas are within 300 meters of runways in Schiphol airport;5;3;location;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
140;How many fire calls were answered by a fire station that was not the closest to the fire accidents in Oleander;7;3;conamount;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0
141;Which fire hydrant is closest to the households in Oleander;4;1;object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
142;What areas are within 3 minutes of driving time from the nearest fire station in Oleander;5;3;location;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;2;0;0;0
143;How many buildings are within 3 minutes of driving time from fire stations in Oleander;7;4;conamount;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0
144;Which buildings are located in the fire areas in Oleander;4;1;object;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0
145;Which buildings were affected by tornado in Oleander;4;1;object;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0
146;What is the walkability for each neighborhood in Ghent;4;1;objectquality;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
147;What is the density of residential units for each neighborhood in Ghent;6;3;proportion;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1
148;What is the connectivity for each neighborhood in Ghent;4;1;objectquality;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
149;What is the land use mix for each neighborhood in Ghent;4;1;objectquality;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
150;What is the bikeability surface in the Metro Vancouver region in Canada;4;1;field;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
151;What is the density surface of bicycle route in the Metro Vancouver region in Canada;4;1;field;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0
152;Where are the bicycle tracks in the Metro Vancouver region in Canada;4;1;location;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0
153;What is the density raster of intersections of bicycle-friendly streets in the Metro Vancouver region in Canada;5;2;field;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0
154;What is the topography in the Metro Vancouver region in Canada;4;1;field;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
155;What is the point density of cycling destinations in the Metro Vancouver region in Canada;4;1;field;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0
156;What is the network distance from hexagonal grid with 2000 meter to the closest public primary school in the Multifunctional Urban Area of Barcelona;5;2;objectquality;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;1;0;0
157;What is the average network distance for people to public primary schools for each census area in Rotterdam;6;2;aggre;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0
158;What is the percentage of population within 1000 meters network distance from hexagonal grids with a diameter of 2000 meters to primary schools in Rotterdam;8;4;proportion;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;2;0;0;1
159;What is the network distance to primary schools for children aged between 4 and 12 in Rotterdam;4;1;networkquality;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0
160;What is the average network distance for people to the three closest primary schools for each census area in Rotterdam;7;3;aggre;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;1;0;0
161;What is the number of people within 1000 meters network distance from hexagonal grids with a diameter of 2000 meters to primary schools in Barcelona;8;4;conamount;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;4;0;0;0
162;Where are the best sites for metro stations in Karbala in Iraq;5;1;allocation;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0
163;What is the travel time from the centroids of municipalities to outpatient services in Tuscany in Italy;6;2;networkquality;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0
164;What is the number of inhabitants for each 100 by 100 meter grid in Banten province in Indonesia;5;1;conamount;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0
165;What area are within 50 km from family physician services in Saskatchewan in Canada;7;3;field;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0
166;What is the travel time from the centers of 2 by 2 km grid cells to the closest hospital in Sichuan in China;7;3;objectquality;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;4;1;0;0
167;What is the percentage of elderly population to the total population for each municipality area in the Aichi prefecture in Japan;8;3;proportion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;0;0;1
168;What is the density of elderly population for each municipality area in Aichi prefecture in Japan;7;3;proportion;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;1
169;What is the potential geographic access of communities to the sexual and productive health services located in rural areas in Chibuto, Chokwe, Guija and Mandlakaze in Mozambique in 2019;10;3;objectquality;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;8;1;0;0
170;Where is the best site for a new landfill in Houston;4;1;allocation;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
171;What areas are not green belt areas in Houston;3;1;location;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0
172;What areas are outside 3000 meters from turbojet runways in Houston;5;3;location;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
173;What areas are within 800 meter from major highways in Houston;5;3;location;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
174;What is the potential accessibility by local road for each 2 by 2 km grid cell in Finland;4;1;objectquality;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0
