ID;Syn;AnswerFungl;AnswerProlog;Question;RQuestion;Types;Fixed
10;(S (VP (VB Give) (NP (PRP me)) (NP (NP (DT the) (NNS cities)) (PP (IN in) (NP (NNP Virginia))))));answer(city(loc_2(stateid('virginia'))));"answer(A,(city(A),loc(A,B),const(B,stateid(virginia))))";Give me the cities in Virginia;What are the cities in virginia;object;2
11;(S (VP (VB Give) (NP (PRP me)) (NP (NP (DT the) (NNS cities)) (SBAR (WHNP (WDT which)) (S (VP (VBP are) (PP (IN in) (NP (NNP Texas)))))))));answer(city(loc_2(stateid('texas'))));"answer(A,(city(A),loc(A,B),const(B,stateid(texas))))";Give me the cities which are in Texas;What are the cities in texas;object;2
12;(S (VP (VB Give) (NP (PRP me)) (NP (NP (DT the) (NNS lakes)) (PP (IN in) (NP (NNP California))))));answer(lake(loc_2(stateid('california'))));"answer(A,(lake(A),loc(A,B),const(B,stateid(california))))";Give me the lakes in California;What are the lakes in california;object;2
13;(S (VP (VB Give) (NP (PRP me)) (NP (DT the) (JJS largest) (NN state))));answer(largest(state(all)));"answer(A,largest(A,state(A)))";Give me the largest state;Which state has the biggest population ;location;2
14;(S (VP (VB Give) (NP (PRP me)) (NP (NP (DT the) (JJS longest) (NN river)) (SBAR (WHNP (WDT that)) (S (VP (VBZ passes) (PP (IN through) (NP (DT the) (NNP US)))))))));answer(longest(river(traverse_2(countryid('usa')))));"answer(A,longest(A,(river(A),traverse(A,B),const(B,countryid(usa)))))";Give me the longest river that passes through the US;Which river has the biggest length in the US;object;2
15;(S (VP (VB Give) (NP (PRP me)) (NP (NP (DT the) (NN number)) (PP (IN of) (NP (NP (NNS rivers)) (PP (IN in) (NP (NNP California))))))));answer(count(river(loc_2(stateid('california')))));"answer(A,count(B,(river(B),loc(B,C),const(C,stateid(california))),A))";Give me the number of rivers in California;What is the number of rivers in California;location;2
16;(S (VP (VB Give) (NP (PRP me)) (NP (NP (DT the) (NNS states)) (SBAR (WHNP (WDT that)) (S (VP (VB border) (NP (NNP Utah))))))));answer(state(next_to_2(stateid('utah'))));"answer(A,(state(A),next_to(A,B),const(B,stateid(utah))))";Give me the states that border Utah;Which states intersect with utah;object;2
17;(SBARQ (WHADJP (WRB How) (JJ big)) (SQ (VBZ is) (NP (NNP Alaska))));answer(size(stateid('alaska')));"answer(A,(size(B,A),const(B,stateid(alaska))))";How big is Alaska;What is the size of alaska;amount;1
18;(SBARQ (WHADJP (WRB How) (JJ big)) (SQ (VBZ is) (NP (NNP Massachusetts))));answer(size(stateid('massachusetts')));"answer(A,(size(B,A),const(B,stateid(massachusetts))))";How big is Massachusetts;What is the size of massachusetts;amount;1
19;(SBARQ (WHADJP (WRB How) (JJ big)) (SQ (VBZ is) (NP (NNP New) (NNP Mexico))));answer(size(stateid('new mexico')));"answer(A,(size(B,A),const(B,stateid('new mexico'))))";How big is New Mexico;What is the size of new mexico;amount;1
20;(SBARQ (WHADJP (WRB How) (JJ big)) (SQ (VBZ is) (NP (NNP North) (NNP Dakota))));answer(size(stateid('north dakota')));"answer(A,(size(B,A),const(B,stateid('north dakota'))))";How big is North Dakota;What is the size of north dakota;amount;1
21;(SBARQ (WHADJP (WRB How) (JJ big)) (SQ (VBZ is) (NP (NNP Texas))));answer(size(stateid('texas')));"answer(A,(size(B,A),const(B,stateid(texas))))";How big is Texas;What is the size of texas;amount;1
22;(SBARQ (WHADJP (WRB How) (JJ big)) (SQ (VBZ is) (NP (NP (DT the) (NN city)) (PP (IN of) (NP (NNP New) (NNP York))))));"answer(size(city(cityid('new york', _))))";"answer(A,(size(B,A),const(B,cityid('new york',_))))";How big is the city of New York;What is the size of new york city;amount;1
23;(SBARQ (WHNP (WRB How) (JJ high)) (SQ (VBP are) (NP (NP (DT the) (JJS highest) (NNS points)) (PP (IN of) (NP (PDT all) (DT the) (NNS states))))));answer(elevation_1(highest(place(loc_2(state(all))))));"answer(A,(elevation(B,A),highest(B,(place(B),loc(B,C),state(C)))))";How high are the highest points of all the states;What is the highest elevation of each state;amount;1
24;(SBARQ (WHADJP (WRB How) (JJ high)) (SQ (VBZ is) (NP (NNP Guadalupe) (NNP Peak))));answer(elevation_1(placeid('guadalupe peak')));"answer(A,(elevation(B,A),const(B,placeid('guadalupe peak'))))";How high is Guadalupe Peak;What is the highest elevation of guadalupe peak;amount;1
25;(SBARQ (WHADJP (WRB How) (JJ high)) (SQ (VBZ is) (NP (NNP Mount) (NNP McKinley))));answer(elevation_1(placeid('mount mckinley')));"answer(A,(elevation(B,A),const(B,placeid('mount mckinley'))))";How high is Mount McKinley;What is the highest elevation of mount mckinley;amount;1
26;(SBARQ (WHADJP (WRB How) (JJ high)) (SQ (VBZ is) (NP (NP (DT the) (JJS highest) (NN point)) (PP (IN in) (NP (NNP America))))));answer(elevation_1(highest(place(loc_2(countryid('usa'))))));"answer(A,(elevation(B,A),highest(B,(place(B),loc(B,C),const(C,countryid(usa))))))";How high is the highest point in America;What is the highest elevation of united states;amount;1
27;(SBARQ (WHADJP (WRB How) (JJ high)) (SQ (VBZ is) (NP (NP (DT the) (JJS highest) (NN point)) (PP (IN in) (NP (NNP Montana))))));answer(elevation_1(highest(place(loc_2(stateid('montana'))))));"answer(A,(elevation(B,A),highest(B,(place(B),loc(B,C),const(C,stateid(montana))))))";How high is the highest point in Montana;What is the highest elevation of montana;amount;1
28;(SBARQ (WHADJP (WRB How) (JJ high)) (SQ (VBZ is) (NP (NP (DT the) (JJS highest) (NN point)) (PP (IN in) (NP (DT the) (JJS largest) (NN state))))));answer(elevation_1(highest(place(loc_2(largest(state(all)))))));"answer(A,(elevation(B,A),highest(B,(place(B),loc(B,C),largest(C,state(C))))))";How high is the highest point in the largest state;What is the highest elevation of the largest state;amount;0
29;(SBARQ (WHADJP (WRB How) (JJ high)) (SQ (VBZ is) (NP (NP (DT the) (JJS highest) (NN point)) (PP (IN of) (NP (NNP Alabama))))));answer(elevation_1(highest(place(loc_2(stateid('alabama'))))));"answer(A,(elevation(B,A),highest(B,(place(B),loc(B,C),const(C,stateid(alabama))))))";How high is the highest point of Alabama;What is the highest elevation of alabama;amount;1
30;(SBARQ (WHADJP (WRB How) (JJ high)) (SQ (VBZ is) (NP (NP (DT the) (JJS highest) (NN point)) (PP (IN of) (NP (NNP Delaware))))));answer(elevation_1(highest(place(loc_2(stateid('delaware'))))));"answer(A,(elevation(B,A),highest(B,(place(B),loc(B,C),const(C,stateid(delaware))))))";How high is the highest point of Delaware;What is the highest elevation of delaware;amount;1
31;(SBARQ (WHADJP (WRB How) (JJ high)) (SQ (VBZ is) (NP (NP (DT the) (JJS highest) (NN point)) (PP (IN of) (NP (NNP Florida))))));answer(elevation_1(highest(place(loc_2(stateid('florida'))))));"answer(A,(elevation(B,A),highest(B,(place(B),loc(B,C),const(C,stateid(florida))))))";How high is the highest point of Florida;What is the highest elevation of florida;amount;1
32;(SBARQ (WHADJP (WRB How) (JJ high)) (SQ (VBZ is) (NP (NP (DT the) (JJS highest) (NN point)) (PP (IN of) (NP (NNP Louisiana))))));answer(elevation_1(highest(place(loc_2(stateid('louisiana'))))));"answer(A,(elevation(B,A),highest(B,(place(B),loc(B,C),const(C,stateid(louisiana))))))";How high is the highest point of Louisiana;What is the highest elevation of louisiana;amount;1
33;(SBARQ (WHADJP (WRB How) (JJ large)) (SQ (VBZ is) (NP (NNP Alaska))));answer(size(stateid('alaska')));"answer(A,(size(B,A),const(B,stateid(alaska))))";How large is Alaska;What is the size of alaska;amount;1
34;(SBARQ (WHADJP (WRB How) (JJ large)) (SQ (VBZ is) (NP (NNP Texas))));answer(size(stateid('texas')));"answer(A,(size(B,A),const(B,stateid(texas))))";How large is Texas;What is the size of texas;amount;1
35;(SBARQ (WHADJP (WRB How) (JJ large)) (SQ (VBZ is) (NP (NP (DT the) (JJS largest) (NN city)) (PP (IN in) (NP (NNP Alaska))))));answer(size(largest(city(loc_2(stateid('alaska'))))));"answer(A,(size(B,A),largest(B,(city(B),loc(B,C),const(C,stateid(alaska))))))";How large is the largest city in Alaska;What is the size of the largest city in Alaska;amount;0
36;(SBARQ (WHADVP (WRB How) (RB long)) (SQ (VBZ is) (NP (NNP Rio) (NNP Grande))));answer(len(riverid('rio grande')));"answer(A,(len(B,A),const(B,riverid('rio grande'))))";How long is Rio Grande;What is the length of rio grande;amount;2
37;(SBARQ (WHADVP (WRB How) (RB long)) (SQ (VBZ is) (NP (DT the) (NNP Colorado) (NN river))));answer(len(river(riverid('colorado'))));"answer(A,(len(B,A),const(B,riverid(colorado)),river(B)))";How long is the Colorado river;What is the length of the colorado river;amount;2
38;(SBARQ (WHADVP (WRB How) (RB long)) (SQ (VBZ is) (NP (DT the) (NNP Delaware) (NN river))));answer(len(river(riverid('delaware'))));"answer(A,(len(B,A),const(B,riverid(delaware)),river(B)))";How long is the Delaware river;What is the length of the delaware river;amount;2
39;(SBARQ (WHADVP (WRB How) (RB long)) (SQ (VBZ is) (NP (NP (DT the) (JJS longest) (NN river)) (PP (IN in) (NP (NNP California))))));answer(len(longest(river(loc_2(stateid('california'))))));"answer(A,(len(B,A),longest(B,(river(B),loc(B,C),const(C,stateid(california))))))";How long is the longest river in California;What is the length of the longest river in California;amount;0
40;(SBARQ (WHADVP (WRB How) (RB long)) (SQ (VBZ is) (NP (NP (DT the) (JJS longest) (NN river)) (PP (IN in) (NP (DT the) (NNP USA))))));answer(len(longest(river(loc_2(countryid('usa'))))));"answer(A,(len(B,A),longest(B,(river(B),loc(B,C),const(C,countryid(usa))))))";How long is the longest river in the USA;What is the length of the longest river in the USA;amount;0
41;(SBARQ (WHADVP (WRB How) (RB long)) (SQ (VBZ is) (NP (DT the) (NNP Mississippi))));answer(len(riverid('mississippi')));"answer(A,(len(B,A),const(B,riverid(mississippi))))";How long is the Mississippi;What is the length of the mississippi;amount;2
42;(SBARQ (WHADVP (WRB How) (RB long)) (SQ (VBZ is) (NP (DT the) (NNP Mississippi) (NN river))));answer(len(river(riverid('mississippi'))));"answer(A,(len(B,A),const(B,riverid(mississippi)),river(B)))";How long is the Mississippi river;What is the length of the mississippi river;amount;2
43;(SBARQ (WHADVP (WRB How) (RB long)) (SQ (VBZ is) (NP (DT the) (NNP Mississippi) (NN river)) (PP (IN in) (NP (NNS miles)))));answer(len(river(riverid('mississippi'))));"answer(A,(len(B,A),const(B,riverid(mississippi)),river(B)))";How long is the Mississippi river in miles;What is the length of the mississippi river in miles;amount;2
44;(SBARQ (WHADVP (WRB How) (RB long)) (SQ (VBZ is) (NP (DT the) (NNP Missouri) (NN river))));answer(len(river(riverid('missouri'))));"answer(A,(len(B,A),const(B,riverid(missouri)),river(B)))";How long is the Missouri river;What is the length of the missouri river;amount;2
45;(SBARQ (WHADVP (WRB How) (RB long)) (SQ (VBZ is) (NP (DT the) (NNP North) (NNP Platte) (NN river))));answer(len(river(riverid('north platte'))));"answer(A,(len(B,A),const(B,riverid('north platte')),river(B)))";How long is the North Platte river;What is the length of the north platte river;amount;2
46;(SBARQ (WHADVP (WRB How) (RB long)) (SQ (VBZ is) (NP (DT the) (NNP Ohio) (NN river))));answer(len(river(riverid('ohio'))));"answer(A,(len(B,A),const(B,riverid(ohio)),river(B)))";How long is the Ohio river;What is the length of the ohio river;amount;2
47;(SBARQ (WHADVP (WRB How) (RB long)) (SQ (VBZ is) (NP (DT the) (NNP Rio) (NNP Grande) (NN river))));answer(len(river(riverid('rio grande'))));"answer(A,(len(B,A),const(B,riverid('rio grande')),river(B)))";How long is the Rio Grande river;What is the length of the rio grande;amount;2
48;(SBARQ (WHADVP (WRB How) (RB long)) (SQ (VBZ is) (NP (NP (DT the) (JJS shortest) (NN river)) (PP (IN in) (NP (DT the) (NNP USA))))));answer(len(shortest(river(loc_2(countryid('usa'))))));"answer(A,(len(B,A),shortest(B,(river(B),loc(B,C),const(C,countryid(usa))))))";How long is the shortest river in the USA;What is the length of the shortest river in the USA;amount;0
49;(SBARQ (WHNP (WRB How) (JJ many) (JJ big) (NNS cities)) (SQ (VP (VBP are) (PP (IN in) (NP (NNP Pennsylvania))))));answer(count(major(city(loc_2(stateid('pennsylvania'))))));"answer(A,count(B,(major(B),city(B),loc(B,C),const(C,stateid(pennsylvania))),A))";How many big cities are in Pennsylvania;How many big cities are in Pennsylvania;amount;2
50;(SBARQ (WHNP (WRB How) (JJ many) (NNS capitals)) (SQ (VBZ does) (NP (NNP Rhode) (NNP Island)) (VP (VB have))));answer(count(capital(loc_2(stateid('rhode island')))));"answer(A,count(B,(capital(B),const(C,stateid('rhode island')),loc(B,C)),A))";How many capitals does Rhode Island have;How many capitals are in Rhode Island;amount;2
51;(SBARQ (WHNP (WRB How) (JJ many) (NNS cities)) (SQ (VP (VBP are) (PP (IN in) (NP (NNP Louisiana))))));answer(count(city(loc_2(stateid('louisiana')))));"answer(A,count(B,(city(B),loc(B,C),const(C,stateid(louisiana))),A))";How many cities are in Louisiana;How many cities are in Louisiana;amount;2
52;(SBARQ (WHNP (WRB How) (JJ many) (NNS cities)) (SQ (VP (VBP are) (PP (IN in) (NP (NNP Montana))))));answer(count(city(loc_2(stateid('montana')))));"answer(A,count(B,(city(B),loc(B,C),const(C,stateid(montana))),A))";How many cities are in Montana;How many cities are in Montana;amount;2
53;(SBARQ (WHNP (WRB How) (JJ many) (NNS cities)) (SQ (VP (VBP are) (ADVP (RB there)) (PP (IN in) (NP (DT the) (NNP United) (NNPS States))))));answer(count(city(loc_2(countryid('usa')))));"answer(A,count(B,(city(B),loc(B,C),const(C,countryid(usa))),A))";How many cities are there in the United States;How many cities are in the United States;amount;2
54;(SBARQ (WHNP (WRB How) (JJ many) (NNS cities)) (SQ (VP (VBP are) (ADVP (RB there)) (PP (IN in) (NP (DT the) (NNP US))))));answer(count(city(loc_2(countryid('usa')))));"answer(A,count(B,(city(B),loc(B,C),const(C,countryid(usa))),A))";How many cities are there in the US;How many cities are in the US;amount;2
55;(SBARQ (WHNP (WRB How) (JJ many) (NNS cities)) (SQ (VP (VBP are) (ADVP (RB there)) (PP (IN in) (NP (NNP US))))));answer(count(city(loc_2(countryid('usa')))));"answer(A,count(B,(city(B),loc(B,C),const(C,countryid(usa))),A))";How many cities are there in US;How many cities are in the US;amount;2
56;(SBARQ (WHNP (WRB How) (JJ many) (NNS cities)) (SQ (VP (VBP are) (ADVP (RB there)) (PP (IN in) (NP (NNP USA))))));answer(count(city(loc_2(countryid('usa')))));"answer(A,count(B,(city(B),loc(B,C),const(C,countryid(usa))),A))";How many cities are there in USA;How many cities are in the USA;amount;2
57;(SBARQ (WHNP (WRB How) (JJ many) (NNS cities)) (SQ (VBZ does) (NP (NNP Texas)) (VP (VB have))));answer(count(city(loc_2(stateid('texas')))));"answer(A,count(B,(city(B),const(C,stateid(texas)),loc(B,C)),A))";How many cities does Texas have;How many cities are in Texas;amount;2
58;(SBARQ (WHNP (WRB How) (JJ many) (NNS cities)) (SQ (VBZ does) (NP (DT the) (NNP USA)) (VP (VB have))));answer(count(city(loc_2(countryid('usa')))));"answer(A,count(B,(city(B),const(C,countryid(usa)),loc(B,C)),A))";How many cities does the USA have;How many cities are in the USA;amount;2
59;(SBARQ (WHNP (WHNP (WRB How) (JJ many) (NNS cities)) (VP (VBN named) (NP (NNP Austin)))) (SQ (VP (VBP are) (ADVP (RB there)) (PP (IN in) (NP (DT the) (NNP USA))))));"answer(count(intersection(city(cityid('austin', _)), loc_2(countryid('usa')))))";"answer(A,count(B,(city(B),const(B,cityid(austin,_)),loc(B,C),const(C,countryid(usa))),A))";How many cities named Austin are there in the USA;How many cities named austin are in the USA;amount;0
60;(SBARQ (WHNP (WRB How) (JJ many) (NNS citizens)) (SQ (VBZ does) (NP (DT the) (JJS biggest) (NN city)) (VP (VB have) (PP (IN in) (NP (DT the) (NNP USA))))));answer(population_1(largest(city(all))));"answer(A,(population(B,A),largest(B,city(B))))";How many citizens does the biggest city have in the USA;How many citizens are in the biggest city in the USA;amount;0
61;(SBARQ (WHNP (WRB How) (JJ many) (NNS citizens)) (PP (IN in) (NP (NNP Alabama))));answer(population_1(stateid('alabama')));"answer(A,(population(B,A),const(B,stateid(alabama))))";How many citizens in Alabama;How many citizens are in Alabama;amount;2
62;(SBARQ (WHNP (WRB How) (JJ many) (NNS citizens)) (PP (IN in) (NP (NNP Boulder))));"answer(population_1(cityid('boulder', _)))";"answer(A,(population(B,A),const(B,cityid(boulder,_))))";How many citizens in Boulder;How many citizens are in Boulder;amount;2
63;(SBARQ (WHNP (WRB How) (JJ many) (NNS citizens)) (SQ (VP (VBP live) (PP (IN in) (NP (NNP California))))));answer(population_1(stateid('california')));"answer(A,(population(B,A),const(B,stateid(california))))";How many citizens live in California;How many citizens are in California;amount;2
64;(SBARQ (WHNP (WRB How) (JJ many) (NNP Colorado) (NNS rivers)) (SQ (VP (VBP are) (ADVP (RB there)))));answer(count(river(riverid('colorado'))));"answer(A,count(B,(const(B,riverid(colorado)),river(B)),A))";How many Colorado rivers are there;How many rivers are in Colorado;amount;1
65;(SBARQ (WHNP (WRB How) (JJ many) (JJ inhabitants)) (SQ (VBZ does) (NP (NNP Montgomery)) (VP (VB have))));"answer(population_1(cityid('montgomery', _)))";"answer(A,(population(B,A),const(B,cityid(montgomery,_))))";How many inhabitants does Montgomery have;How many inhabitants are in Montgomery;amount;2
66;(SBARQ (WHNP (WRB How) (JJ many) (JJ major) (NNS cities)) (SQ (VP (VBP are) (PP (IN in) (NP (NNP Arizona))))));answer(count(major(city(loc_2(stateid('arizona'))))));"answer(A,count(B,(major(B),city(B),loc(B,C),const(C,stateid(arizona))),A))";How many major cities are in Arizona;How many major cities are in Arizona;amount;2
67;(SBARQ (WHNP (WRB How) (JJ many) (JJ major) (NNS cities)) (SQ (VP (VBP are) (PP (IN in) (NP (NNP Florida))))));answer(count(major(city(loc_2(stateid('florida'))))));"answer(A,count(B,(major(B),city(B),loc(B,C),const(C,stateid(florida))),A))";How many major cities are in Florida;How many major cities are in Florida;amount;2
68;(SBARQ (WHNP (WRB How) (JJ many) (JJ major) (NNS cities)) (SQ (VP (VBP are) (PP (IN in) (NP (NP (NNS states)) (VP (VBG bordering) (NP (NNP Nebraska))))))));answer(count(major(city(loc_2(state(next_to_2(stateid('nebraska'))))))));"answer(A,count(B,(major(B),city(B),loc(B,C),state(C),next_to(C,D),const(D,stateid(nebraska))),A))";How many major cities are in states bordering Nebraska;How many major cities are in states bordering Nebraska;amount;0
69;(SBARQ (WHNP (WRB How) (JJ many) (JJ major) (NNS cities)) (SQ (VP (VBP are) (PP (IN in) (NP (NP (NNS states)) (VP (VBG bordering) (NP (NNP Utah))))))));answer(count(major(city(loc_2(state(next_to_2(stateid('utah'))))))));"answer(A,count(B,(major(B),city(B),loc(B,C),state(C),next_to(C,D),const(D,stateid(utah))),A))";How many major cities are in states bordering Utah;How many major cities are in states bordering Utah;amount;0
70;(SBARQ (WHNP (WRB How) (JJ many) (JJ major) (NNS cities)) (SQ (VP (VBP are) (PP (IN in) (NP (NNP Texas))))));answer(count(major(city(loc_2(stateid('texas'))))));"answer(A,count(B,(major(B),city(B),loc(B,C),const(C,stateid(texas))),A))";How many major cities are in Texas;How many major cities are in Texas;amount;2
71;(SBARQ (WHNP (WRB How) (JJ many) (JJ major) (NNS cities)) (SQ (VP (VBP are) (ADVP (RB there)))));answer(count(major(city(all))));"answer(A,count(B,(major(B),city(B)),A))";How many major cities are there;How many major cities are in Texas;amount;2
72;(SBARQ (WHNP (WRB How) (JJ many) (JJ major) (NNS cities)) (SQ (VP (VBP are) (ADVP (RB there)) (PP (IN in) (NP (NNP Oregon))))));answer(count(major(city(loc_2(stateid('oregon'))))));"answer(A,count(B,(major(B),city(B),loc(B,C),const(C,stateid(oregon))),A))";How many major cities are there in Oregon;How many major cities are in Oregon;amount;2
73;(SBARQ (WHNP (WRB How) (JJ many) (JJ major) (NNS rivers)) (SQ (VP (VBP cross) (NP (NNP Ohio)))));answer(count(major(river(traverse_2(stateid('ohio'))))));"answer(A,count(B,(major(B),river(B),traverse(B,C),const(C,stateid(ohio))),A))";How many major rivers cross Ohio;How many major rivers are in Ohio;amount;2
74;(SBARQ (WHNP (WRB How) (JJ many) (NNS people)) (SQ (VP (VBP are) (PP (IN in) (NP (NP (DT the) (NN state)) (PP (IN of) (NP (NNP Nevada))))))));answer(population_1(state(stateid('nevada'))));"answer(A,(population(B,A),const(B,stateid(nevada))))";How many people are in the state of Nevada;How many people are in Nevada;amount;2
75;(SBARQ (WHNP (WRB How) (JJ many) (NNS people)) (SQ (VP (VBP are) (ADVP (RB there)) (PP (IN in) (NP (NNP Iowa))))));answer(population_1(stateid('iowa')));"answer(A,(population(B,A),const(B,stateid(iowa))))";How many people are there in Iowa;How many people are in Iowa;amount;2
76;(SBARQ (WHNP (WRB How) (JJ many) (NNS people)) (SQ (VP (VBP are) (ADVP (RB there)) (PP (IN in) (NP (NNP New) (NNP York))))));answer(population_1(stateid('new york')));"answer(A,(population(B,A),const(B,stateid('new york'))))";How many people are there in New York;How many people are in New York;amount;2
77;(SBARQ (WHNP (WRB How) (JJ many) (NNS people)) (PP (IN in) (NP (NNP Boulder))));"answer(population_1(cityid('boulder', _)))";"answer(A,(population(B,A),const(B,cityid(boulder,_))))";How many people in Boulder;How many people are in Boulder;amount;2
78;(SBARQ (WHNP (WRB How) (JJ many) (NNS people)) (SQ (VP (VBP live) (PP (IN in) (NP (NNP Austin))))));"answer(population_1(cityid('austin', _)))";"answer(A,(population(B,A),const(B,cityid(austin,_))))";How many people live in Austin;How many people are in Austin;amount;2
79;(SBARQ (WHNP (WRB How) (JJ many) (NNS people)) (SQ (VP (VBP live) (PP (IN in) (NP (NP (NNP Austin)) (NP (NNP Texas)))))));"answer(population_1(cityid('austin', 'tx')))";"answer(A,(population(B,A),const(B,cityid(austin,tx))))";How many people live in Austin Texas;How many people are in Austin Texas;amount;2
80;(SBARQ (WHNP (WRB How) (JJ many) (NNS people)) (SQ (VP (VBP live) (PP (IN in) (NP (NNP California))))));answer(population_1(stateid('california')));"answer(A,(population(B,A),const(B,stateid(california))))";How many people live in California;How many people are in California;amount;2
81;(SBARQ (WHNP (WRB How) (JJ many) (NNS people)) (SQ (VP (VBP live) (PP (IN in) (NP (NNP Chicago))))));"answer(population_1(cityid('chicago', _)))";"answer(A,(population(B,A),const(B,cityid(chicago,_))))";How many people live in Chicago;How many people are in Chicago;amount;2
82;(SBARQ (WHNP (WRB How) (JJ many) (NNS people)) (SQ (VP (VBP live) (PP (IN in) (NP (NNP Detroit))))));"answer(population_1(cityid('detroit', _)))";"answer(A,(population(B,A),const(B,cityid(detroit,_))))";How many people live in Detroit;How many people are in Detroit;amount;2
83;(SBARQ (WHNP (WRB How) (JJ many) (NNS people)) (SQ (VP (VBP live) (PP (IN in) (NP (NNP Hawaii))))));answer(population_1(stateid('hawaii')));"answer(A,(population(B,A),const(B,stateid(hawaii))))";How many people live in Hawaii;How many people are in Hawaii;amount;2
84;(SBARQ (WHNP (WRB How) (JJ many) (NNS people)) (SQ (VP (VBP live) (PP (IN in) (NP (NNP Houston))))));"answer(population_1(cityid('houston', _)))";"answer(A,(population(B,A),const(B,cityid(houston,_))))";How many people live in Houston;How many people are in Houston;amount;2
85;(SBARQ (WHNP (WRB How) (JJ many) (NNS people)) (SQ (VP (VBP live) (PP (IN in) (NP (NNP Kalamazoo))))));"answer(population_1(cityid('kalamazoo', _)))";"answer(A,(population(B,A),const(B,cityid(kalamazoo,_))))";How many people live in Kalamazoo;How many people are in Kalamazoo;amount;2
86;(SBARQ (WHNP (WRB How) (JJ many) (NNS people)) (SQ (VP (VBP live) (PP (IN in) (NP (NNP Kansas))))));answer(population_1(stateid('kansas')));"answer(A,(population(B,A),const(B,stateid(kansas))))";How many people live in Kansas;How many people are in Kansas;amount;2
87;(SBARQ (WHNP (WRB How) (JJ many) (NNS people)) (SQ (VP (VBP live) (PP (IN in) (NP (NP (NNP Minneapolis)) (NP (NNP Minnesota)))))));"answer(population_1(cityid('minneapolis', 'mn')))";"answer(A,(population(B,A),const(B,cityid(minneapolis,mn))))";How many people live in Minneapolis Minnesota;How many people are in Minneapolis Minnesota;amount;2
